epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.665,1.01561,1.86804,1.0317,0.87974,0.74412,0.83798,0.5699,0.97476,2.53477,0.99289,0.000658824,0.000658824,0.000658824
2,635,0.95121,1.11376,0.98365,0.98222,0.93529,0.98503,0.74135,0.86621,1.15113,0.97083,0.00129925,0.00129925,0.00129925
3,942.814,0.98381,0.96865,1.01211,0.89748,0.92688,0.95975,0.74788,0.83269,0.95371,0.97666,0.00191327,0.00191327,0.00191327
4,1255.99,0.91179,0.77422,0.97838,0.98498,0.96464,0.99091,0.78255,0.80782,0.78096,0.94507,0.0018812,0.0018812,0.0018812
5,1583.73,0.915,0.68667,0.98219,0.95522,0.95588,0.98231,0.72802,0.93295,0.64822,0.98264,0.0018416,0.0018416,0.0018416
6,1889.67,0.86577,0.65152,0.96458,0.9851,0.97217,0.99334,0.80055,0.74387,0.54239,0.93205,0.001802,0.001802,0.001802
7,2194.67,0.84773,0.60487,0.95375,0.9911,0.98229,0.9944,0.78809,0.78329,0.51642,0.93025,0.0017624,0.0017624,0.0017624
8,2496,0.84309,0.58832,0.96153,0.9881,0.97664,0.99209,0.76236,0.79432,0.50859,0.92427,0.0017228,0.0017228,0.0017228
9,2797.75,0.85186,0.58585,0.96862,0.99058,0.97059,0.99214,0.80035,0.75044,0.51617,0.92034,0.0016832,0.0016832,0.0016832
10,3099.77,0.82509,0.57155,0.95507,0.98814,0.98529,0.99351,0.79276,0.7782,0.58069,0.92844,0.0016436,0.0016436,0.0016436
11,3402,0.79559,0.5294,0.93641,0.97894,0.98235,0.99375,0.76454,0.81976,0.5222,0.92867,0.001604,0.001604,0.001604
12,3703.11,0.80583,0.52886,0.93909,0.99401,0.98529,0.99446,0.82511,0.73126,0.44584,0.89968,0.0015644,0.0015644,0.0015644
13,4005.29,0.78321,0.51863,0.93914,0.99363,0.98529,0.99448,0.82021,0.67908,0.44862,0.88913,0.0015248,0.0015248,0.0015248
14,4308.18,0.74902,0.49226,0.92781,0.9863,0.98529,0.99398,0.81845,0.71108,0.42614,0.88798,0.0014852,0.0014852,0.0014852
